,train_loss,train_acc,val_loss,val_acc
0,0.5566827396850134,0.8024146561647663,0.3171092006577347,0.8935561299852289
1,0.3367585472502126,0.8852063843755129,0.26052151718610234,0.912758493353028
2,0.2922844839114656,0.9005600689335173,0.23872469604273974,0.9207902511078286
3,0.2682408646275512,0.9084789922881866,0.2539343551637679,0.9113737075332349
4,0.2436040639990429,0.9178339898263451,0.2166532198217542,0.9265140324963073
5,0.2288031242781724,0.9226981782373215,0.20270160897435452,0.9323301329394387
6,0.21529149800513336,0.927404398492027,0.20062417740021535,0.930576070901034
7,0.20215012870292426,0.9327137699008634,0.19005117704885485,0.9349150664697193
8,0.1907410710590257,0.9359387822110489,0.18405805345063417,0.9360228951255539
9,0.1788900642309276,0.9406367963256066,0.1831271099614494,0.9384231905465288
10,0.17097151197001506,0.9437982110618743,0.18116584339727987,0.9384231905465288
11,0.16556168565257282,0.945111193172493,0.17567064114082798,0.9411004431314623
12,0.16211475853161816,0.9460241260462826,0.17841112886471577,0.9397156573116692
13,0.15797812239848225,0.9478069095703137,0.1756938311045761,0.9400849335302807
14,0.1532518004543221,0.9493045297902382,0.17669905068633454,0.9403618906942393
