,train_loss,train_acc,val_loss,val_acc
0,0.29233051675782845,0.9051021664243956,0.16802894273577493,0.9487629246676514
1,0.13516047802088385,0.9561997374035779,0.12695629757923932,0.9590103397341211
2,0.09891841355009634,0.9673395699983588,0.10817398219176759,0.9623338257016248
3,0.0799974894342767,0.9732479894961431,0.09546383817032243,0.9658419497784343
4,0.06779067045459504,0.9770330707369113,0.09229533472978833,0.9686115214180206
5,0.06044435347070443,0.9795667159034959,0.08838686639628067,0.9701809453471196
6,0.05732782816572991,0.9807750697541311,0.08850056129408673,0.9697193500738552
7,0.0545813796269149,0.982182422451994,0.08842697230692502,0.9692577548005908
8,0.05404611932769957,0.9822542261611685,0.08699093322493852,0.9708271787296898
9,0.05311730181464435,0.982650172332815,0.08844821862453399,0.969073116691285
